"","Date","^GSPC","AAPL","AMZN","BA","COST","CVX","DIS","ELY","FL","GILD","GS","HD","JCP","LMT","M","MMM","PG","S","SBUX","SHOO","SMRT","TM","YUM","K","C","XOM","IBM","F","CAT","MCD","COKE"
"17","2016-06-01",2098.860107,90.153221,715.619995,117.600014,145.047287,90.344849,92.287613,10.109863,48.717205,73.616203,139.969528,116.807671,8.88,225.397842,26.004095,157.798706,75.004372,4.53,53.116703,21.939337,7.267787,91.169273,55.526909,72.069702,39.212719,80.175171,129.70636,9.982372,67.625267,108.524094,144.545944
"18","2016-07-01",2173.600098,98.272682,758.809998,121.031937,154.44989,88.319572,90.523369,10.595057,52.94421,70.525101,149.60672,126.458565,9.66,229.539429,28.040157,160.718216,75.819366,6.14,53.981518,22.478516,8.179821,101.755081,59.879604,73.00531,40.526299,76.078316,137.260757,10.053845,73.824921,106.87809,139.586273
"19","2016-08-01",2170.949951,100.055,769.159973,117.219696,149.711655,86.682121,89.765015,11.307998,58.566067,69.557808,159.639511,122.689682,9.43,220.674988,28.314058,161.5112,77.948631,6.18,52.289085,22.523447,7.647182,109.988487,61.197533,72.563988,44.321838,74.530228,135.773804,10.115914,73.806602,105.070305,147.569748
"20","2016-09-01",2168.27002,107.186554,837.309998,120.281921,141.241898,89.633369,88.244537,11.505991,60.421898,70.214523,152.518234,118.316933,9.22,219.203705,28.994907,159.788391,80.127022,6.63,50.520889,22.18325,6.039752,105.82164,61.265015,68.810684,43.848354,75.28656,136.920609,9.690403,79.948891,105.612213,145.468613
"21","2016-10-01",2126.149902,107.651123,789.820007,130.04216,136.944717,91.227119,88.082977,10.118534,59.574284,65.738258,168.567337,112.184097,8.59,225.293701,28.862282,149.878128,77.493324,6.16,49.522415,21.438675,5.782195,107.05986,58.208839,66.732239,45.63089,71.870689,132.472931,9.425464,75.166557,103.057968,138.733246
"22","2016-11-01",2198.810059,104.78775,750.570007,137.465042,139.019211,97.157959,94.193405,12.041155,64.20385,65.800766,207.389648,118.978966,9.47,242.548737,33.378689,155.717316,74.186615,7.84,54.094868,23.781525,4.783278,109.716446,59.964649,63.952103,52.352501,75.303795,139.825378,9.721717,86.823875,109.191818,159.114868
"23","2016-12-01",2238.830078,110.376678,768.659973,144.337631,148.73674,103.531509,99.039902,10.870553,63.505112,63.934757,227.157562,123.936684,8.31,230.123962,28.32443,162.875137,75.644073,8.42,52.04863,22.947084,5.263526,108.485344,59.90789,65.934975,55.357323,78.546463,144.372894,9.859903,84.261688,112.301353,164.396423
"24","2017-01-01",2278.870117,115.646774,823.47998,151.513748,152.303986,97.945915,105.960678,11.237534,61.399929,65.101189,217.547546,127.171875,6.65,231.403809,23.585136,159.526215,78.810913,9.23,51.767387,22.594051,3.564021,107.143158,61.989017,65.040459,52.004013,73.003128,151.792007,10.04686,86.914749,113.085571,166.058594
"25","2017-02-01",2363.639893,130.551743,845.039978,167.098999,164.594223,98.957466,105.424408,10.027491,68.050949,63.331032,235.325531,133.947403,6.34,245.444717,26.5233,170.047562,82.581604,8.81,53.314217,23.974085,3.505594,104.736496,62.076958,66.256996,55.711277,70.766663,156.401794,10.307655,88.552032,117.772491,169.485229
"26","2017-03-01",2362.719971,137.501846,886.539978,165.385056,156.197922,95.34903,108.584564,10.990243,67.277557,61.030682,218.496658,135.722107,6.16,248.081223,23.664982,175.728867,81.475327,8.68,54.985832,24.744339,2.931067,100.543335,60.727451,65.403076,55.880096,72.019707,152.659073,9.575508,84.979164,120.460999,202.925232
"27","2017-04-01",2384.199951,137.492264,924.98999,172.837936,165.354248,94.754036,110.700897,11.764624,69.552818,62.070736,212.865906,145.168961,5.38,249.796356,23.610548,179.861938,79.190193,9.03,56.558487,24.423401,2.47,101.881332,62.485611,63.952877,55.2262,71.70356,140.517532,9.435661,93.682297,130.052521,208.677505
"28","2017-05-01",2411.800049,146.211731,994.619995,175.456284,168.064789,91.894562,103.365532,12.64821,53.657379,58.394489,200.938538,142.760345,4.7,260.624359,18.988632,187.797455,80.490646,8.49,59.901512,25.193651,1.46,101.316063,69.357986,64.493317,56.703644,70.693665,133.80246,9.271022,97.388664,140.238846,224.589859
"29","2017-06-01",2423.409912,138.415375,968,186.335297,155.440491,93.59185,101.747154,12.698001,44.508259,64.089973,211.769272,143.482437,4.65,259.023132,18.778543,192.35614,79.63176,8.21,55.136703,25.642963,1.69,98.941902,70.427383,63.01696,62.641884,71.565117,136.171783,9.329383,99.263847,142.348648,225.704193
"30","2017-07-01",2470.300049,142.942078,987.780029,228.464523,154.060364,97.951645,105.271187,12.648321,42.620628,64.67865,215.042664,139.928131,5.41,272.570953,19.515614,185.870041,82.985153,7.98,51.042339,26.316936,1.39,106.309319,72.069672,61.692394,64.112396,70.953453,128.063263,9.354394,105.258842,145.092758,236.768997
"31","2017-08-01",2471.649902,157.617828,980.599976,225.826126,152.340088,96.543221,97.632111,13.850556,32.024158,76.407715,213.525238,140.180649,3.87,284.943176,17.066916,188.780472,84.971123,8.25,51.874451,27.215565,1.25,106.441223,73.647812,59.387997,63.719009,67.664635,126.611526,9.314084,109.312218,149.60997,210.856949
"32","2017-09-01",2519.360107,148.703979,961.349976,240.964951,160.18866,106.465401,95.094833,14.348459,32.015076,75.358009,227.134277,153.890274,3.81,291.235199,17.929712,195.051544,83.783165,7.78,51.016304,27.793251,1.3,112.272964,70.570374,57.049278,68.446045,73.377625,129.783112,10.107851,116.029694,147.402359,212.989319
"33","2017-10-01",2575.26001,163.09967,1105.280029,244.538559,157.058807,105.006584,94.361626,14.348459,27.342802,68.848816,232.199997,155.979004,2.8,289.235992,15.676556,213.906219,79.510185,6.54,52.089626,25.033182,1.07,118.577805,71.375687,57.195637,69.161186,74.603867,137.816269,10.36118,126.347771,157.026596,222.673782
"34","2017-11-01",2584.840088,165.810959,1176.75,262.377899,179.825882,107.815468,101.124474,14.428008,39.311752,68.683502,237.141281,169.18898,3.31,299.52301,19.888165,225.940125,83.492111,5.99,54.920174,27.44022,1.24,120.815475,80.023232,60.515961,71.043129,74.550163,133.397141,10.703567,132.108704,161.787003,213.188446
"35","2017-12-01",2673.610107,163.869995,1169.469971,281.04715,182.012177,114.495079,103.719643,13.860936,43.019028,65.799477,244.726044,179.228302,3.16,303.225098,21.049706,219.823166,85.245621,5.89,54.838715,29.975628,1.16,121.609184,78.535492,62.687458,70.31855,75.556274,138.61554,10.677918,147.486282,162.893448,212.743683
"36","2018-01-01",2823.810059,162.127014,1450.890015,337.712097,190.569092,114.641426,105.682114,14.696772,45.102066,77.494347,257.338959,189.980286,3.71,335.148499,22.006407,233.953796,80.105644,5.33,54.246693,29.65469,0.68,131.889114,81.403221,62.807327,74.164749,78.862549,147.903549,9.378445,152.353226,161.965988,200.152603
"37","2018-02-01",2713.830078,172.478439,1512.449951,345.183502,186.686691,102.358711,100.323616,15.40325,42.402355,72.805862,252.574295,172.362915,4.33,332.872314,24.940596,219.953949,73.405357,5.19,54.523605,28.178373,0.62,128.714294,78.314156,61.046036,71.339149,68.419807,140.792984,9.188988,145.396973,149.284286,184.653229
"38","2018-03-01",2640.870117,163.128311,1447.339966,314.009766,184.764297,105.335869,97.678398,16.289585,42.060623,69.717171,242.619415,168.551956,3.02,320.960144,25.220446,206.229019,74.11586,4.88,55.577782,28.178373,1.52,124.669258,82.302399,59.948681,64.047264,68.088219,139.989441,9.59604,138.579926,148.933456,170.85939
"39","2018-04-01",2648.050049,160.678177,1566.130005,319.449463,193.324478,115.560951,97.571426,17.185711,39.78857,67.267731,229.585815,175.752029,2.91,304.728333,26.686155,182.62056,67.627922,5.61,55.270565,31.111309,2.05,127.430977,84.206963,54.756283,64.77787,70.953751,132.261429,9.734611,135.740204,159.466827,166.624268
"40","2018-05-01",2705.27002,181.689041,1629.619995,337.262634,194.383453,114.812782,96.735069,18.858482,50.255272,62.769558,217.592606,177.416351,2.42,298.744751,29.984344,185.288589,69.03701,5.14,54.406509,34.077362,2.89,124.502541,78.628616,59.86005,63.278709,74.138672,128.931152,10.137302,143.558578,152.390625,126.264473
